location_name,latitude,longitude,timestamp,source,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description
Dong Thap,10.4939,105.6882,2026-05-19 00:00:00,WeatherAPI,27.5,82,100,0.28,71,9000.0,14.8,24.1,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-19 01:00:00,WeatherAPI,27.4,81,0,0.0,26,10000.0,13.3,21.5,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-19 02:00:00,WeatherAPI,27.2,82,80,0.01,78,10000.0,11.5,19.0,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-19 03:00:00,WeatherAPI,27.2,82,79,0.01,53,10000.0,12.2,20.1,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-19 04:00:00,WeatherAPI,27.0,82,61,0.01,55,10000.0,11.9,20.2,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-19 05:00:00,WeatherAPI,27.2,80,0,0.0,38,10000.0,11.9,20.2,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-19 06:00:00,WeatherAPI,27.1,80,66,0.01,63,10000.0,10.1,17.0,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-19 07:00:00,WeatherAPI,28.7,74,61,0.01,71,10000.0,13.7,18.7,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-19 08:00:00,WeatherAPI,30.3,67,100,0.09,100,10000.0,21.2,25.8,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-19 09:00:00,WeatherAPI,31.8,60,100,0.16,52,5000.0,22.3,25.7,1150,Patchy light drizzle
Dong Thap,10.4939,105.6882,2026-05-19 10:00:00,WeatherAPI,33.3,54,100,0.21,100,10000.0,22.7,27.7,1240,Light rain shower
Dong Thap,10.4939,105.6882,2026-05-19 11:00:00,WeatherAPI,33.1,54,100,0.88,100,9000.0,25.6,30.7,1183,Light rain
Dong Thap,10.4939,105.6882,2026-05-19 12:00:00,WeatherAPI,32.6,57,100,0.99,100,10000.0,25.6,37.2,1240,Light rain shower
Dong Thap,10.4939,105.6882,2026-05-19 13:00:00,WeatherAPI,32.9,55,63,0.01,100,10000.0,26.6,33.1,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-19 14:00:00,WeatherAPI,33.1,54,0,0.0,100,10000.0,26.6,30.6,1009,Overcast
Dong Thap,10.4939,105.6882,2026-05-19 15:00:00,WeatherAPI,32.9,53,0,0.0,89,10000.0,26.3,30.2,1009,Overcast
Dong Thap,10.4939,105.6882,2026-05-19 16:00:00,WeatherAPI,32.7,54,0,0.0,87,10000.0,25.9,29.8,1006,Cloudy
