location_name,latitude,longitude,timestamp,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description
Dong Thap,10.4939,105.6882,2026-05-19 00:00:00,26.4,91,14,0.0,99,19420.0,7.3,12.6,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 01:00:00,26.2,92,2,0.0,99,18760.0,8.2,13.7,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 02:00:00,26.1,91,0,0.0,93,18740.0,7.9,14.4,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 03:00:00,26.1,91,1,0.0,96,18500.0,8.9,14.8,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 04:00:00,26.2,91,4,0.0,99,20360.0,9.7,16.6,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 05:00:00,26.2,90,4,0.0,100,19160.0,9.7,16.6,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 06:00:00,26.5,89,5,0.0,91,19260.0,10.5,17.6,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 07:00:00,26.6,90,10,0.7,98,3380.0,16.1,28.1,53,Mua phun vua
Dong Thap,10.4939,105.6882,2026-05-19 08:00:00,26.5,93,22,0.9,97,3920.0,14.3,30.2,53,Mua phun vua
Dong Thap,10.4939,105.6882,2026-05-19 09:00:00,28.4,82,39,0.3,99,10480.0,16.2,32.4,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 10:00:00,30.0,78,55,0.2,99,13680.0,16.1,33.8,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 11:00:00,28.4,87,70,3.0,98,4680.0,13.0,38.2,81,Mua rao vua
Dong Thap,10.4939,105.6882,2026-05-19 12:00:00,28.8,84,84,0.4,97,3020.0,14.9,31.0,95,Dong
Dong Thap,10.4939,105.6882,2026-05-19 13:00:00,28.5,85,94,3.1,100,4480.0,14.5,34.9,81,Mua rao vua
Dong Thap,10.4939,105.6882,2026-05-19 14:00:00,28.9,85,99,0.4,98,8420.0,13.9,31.3,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 15:00:00,29.9,81,100,0.2,100,9840.0,14.0,29.9,95,Dong
Dong Thap,10.4939,105.6882,2026-05-19 16:00:00,29.5,81,94,0.4,99,9500.0,13.3,33.1,95,Dong
Dong Thap,10.4939,105.6882,2026-05-19 17:00:00,29.3,80,78,0.1,99,16460.0,10.3,30.6,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 18:00:00,28.6,81,56,0.0,99,18020.0,9.2,18.7,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 19:00:00,28.0,85,37,0.0,99,11320.0,8.8,16.6,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 20:00:00,27.5,88,23,0.1,99,7040.0,10.1,17.3,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 21:00:00,27.5,86,11,0.1,99,18640.0,11.8,20.2,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 22:00:00,27.0,85,4,0.0,100,20500.0,10.7,21.2,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 23:00:00,26.5,87,2,0.0,98,19620.0,10.5,18.7,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 00:00:00,26.4,89,3,0.0,100,19960.0,9.3,18.4,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 01:00:00,26.2,90,8,0.0,100,20520.0,8.3,16.6,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 02:00:00,25.9,91,16,0.0,94,17660.0,7.8,13.7,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 03:00:00,25.8,93,26,0.0,97,18600.0,8.1,15.1,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 04:00:00,25.8,93,37,0.0,99,18420.0,7.9,14.0,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 05:00:00,25.3,95,48,2.1,99,2980.0,11.3,19.8,80,Mua rao nhe
Dong Thap,10.4939,105.6882,2026-05-20 06:00:00,25.3,95,59,0.7,92,4000.0,8.3,19.8,53,Mua phun vua
Dong Thap,10.4939,105.6882,2026-05-20 07:00:00,25.1,93,67,2.8,98,4460.0,11.4,26.6,81,Mua rao vua
Dong Thap,10.4939,105.6882,2026-05-20 08:00:00,26.4,89,69,0.3,100,11540.0,11.2,24.5,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-20 09:00:00,28.2,83,68,0.1,100,9100.0,13.1,25.2,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-20 10:00:00,29.3,76,69,0.3,83,7340.0,13.9,28.1,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-20 11:00:00,30.5,75,77,0.3,84,23880.0,13.7,29.5,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-20 12:00:00,31.4,71,88,0.1,68,10540.0,11.9,29.5,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-20 13:00:00,32.0,69,96,0.1,70,25800.0,13.2,29.9,95,Dong
Dong Thap,10.4939,105.6882,2026-05-20 14:00:00,29.9,78,100,0.9,98,3780.0,16.7,31.3,95,Dong
Dong Thap,10.4939,105.6882,2026-05-20 15:00:00,27.0,94,100,6.7,99,2740.0,10.9,44.6,81,Mua rao vua
Dong Thap,10.4939,105.6882,2026-05-20 16:00:00,27.4,91,100,1.1,100,4680.0,12.9,25.2,55,Mua phun day
Dong Thap,10.4939,105.6882,2026-05-20 17:00:00,27.0,93,93,0.5,99,5200.0,10.9,23.8,53,Mua phun vua
Dong Thap,10.4939,105.6882,2026-05-20 18:00:00,26.5,95,81,0.3,100,6800.0,8.3,20.2,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-20 19:00:00,26.5,95,69,0.1,99,12580.0,7.9,14.4,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-20 20:00:00,26.4,95,54,0.0,99,17040.0,7.9,14.4,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 21:00:00,26.2,96,38,0.0,100,15680.0,7.3,13.7,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 22:00:00,26.1,96,27,0.0,98,13340.0,7.8,13.7,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 23:00:00,26.1,96,24,0.0,98,14100.0,6.7,13.3,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-21 00:00:00,26.0,97,25,0.0,55,14200.0,6.6,11.5,2,Nhieu may mot phan
Dong Thap,10.4939,105.6882,2026-05-21 01:00:00,25.9,97,29,0.0,50,14300.0,6.8,11.5,2,Nhieu may mot phan
Dong Thap,10.4939,105.6882,2026-05-21 02:00:00,25.8,97,36,0.0,47,14300.0,7.2,12.2,1,Chu yeu quang
Dong Thap,10.4939,105.6882,2026-05-21 03:00:00,24.5,96,46,4.2,100,2380.0,8.0,18.0,81,Mua rao vua
Dong Thap,10.4939,105.6882,2026-05-21 04:00:00,25.0,96,53,0.9,98,4660.0,7.3,12.6,53,Mua phun vua
Dong Thap,10.4939,105.6882,2026-05-21 05:00:00,24.5,98,56,0.5,100,5900.0,2.4,13.0,53,Mua phun vua
Dong Thap,10.4939,105.6882,2026-05-21 06:00:00,24.9,96,56,0.1,100,10220.0,8.5,13.7,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-21 07:00:00,25.6,93,57,0.0,100,14120.0,12.5,23.8,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-21 08:00:00,26.7,87,59,0.0,99,19100.0,11.8,25.9,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-21 09:00:00,28.0,83,63,0.0,100,22700.0,11.0,23.8,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-21 10:00:00,28.8,79,67,0.1,100,5980.0,13.6,27.7,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-21 11:00:00,29.1,79,74,0.2,99,21760.0,11.4,31.7,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-21 12:00:00,30.2,76,82,0.1,98,10500.0,12.2,27.0,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-21 13:00:00,30.6,73,88,0.0,98,11660.0,12.6,27.7,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-21 14:00:00,30.9,71,92,0.1,99,28320.0,13.7,28.4,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-21 15:00:00,29.5,80,95,1.1,100,4460.0,11.7,28.8,55,Mua phun day
Dong Thap,10.4939,105.6882,2026-05-21 16:00:00,26.5,93,96,2.7,100,4740.0,10.1,34.9,81,Mua rao vua
Dong Thap,10.4939,105.6882,2026-05-21 17:00:00,26.6,93,95,0.3,99,8220.0,6.8,19.8,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-21 18:00:00,26.6,94,93,0.1,98,13400.0,5.3,14.0,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-21 19:00:00,26.2,96,84,0.0,100,13560.0,3.3,9.0,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-21 20:00:00,26.2,97,64,0.0,99,14140.0,2.7,6.1,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-21 21:00:00,26.2,97,39,0.0,96,13080.0,2.8,4.7,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-21 22:00:00,26.1,97,20,0.0,100,13840.0,4.4,7.6,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-21 23:00:00,25.9,97,15,0.0,100,12200.0,5.4,9.7,3,Nhieu may
Long An,10.536,106.4052,2026-05-19 00:00:00,26.5,92,13,0.0,96,17760.0,6.4,10.4,3,Nhieu may
Long An,10.536,106.4052,2026-05-19 01:00:00,26.4,93,4,0.0,100,17660.0,7.2,12.6,3,Nhieu may
Long An,10.536,106.4052,2026-05-19 02:00:00,26.1,93,0,0.0,99,18180.0,5.7,11.9,3,Nhieu may
