location_name,latitude,longitude,timestamp,source,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description
Dong Thap,10.4939,105.6882,2026-05-26 00:00:00,WeatherAPI,27.7,81,100,0.06,77,10000.0,14.8,24.1,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-26 01:00:00,WeatherAPI,27.4,83,0,0.0,27,10000.0,13.3,21.5,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-26 02:00:00,WeatherAPI,26.3,88,100,1.37,87,9000.0,9.7,18.3,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-26 03:00:00,WeatherAPI,26.4,88,100,0.83,86,9000.0,8.6,16.4,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-26 04:00:00,WeatherAPI,26.4,87,0,0.0,24,10000.0,10.8,21.6,1000,Clear
Dong Thap,10.4939,105.6882,2026-05-26 05:00:00,WeatherAPI,26.4,86,0,0.0,21,10000.0,10.1,20.2,1000,Clear
Dong Thap,10.4939,105.6882,2026-05-26 06:00:00,WeatherAPI,26.6,85,0,0.0,21,10000.0,9.4,17.2,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-26 07:00:00,WeatherAPI,28.6,78,0,0.0,18,10000.0,13.7,20.7,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-26 08:00:00,WeatherAPI,30.6,67,0,0.0,17,10000.0,18.0,21.8,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-26 09:00:00,WeatherAPI,32.2,60,0,0.0,19,10000.0,20.5,23.6,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-26 10:00:00,WeatherAPI,33.7,54,0,0.0,12,10000.0,21.2,24.4,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-26 11:00:00,WeatherAPI,34.8,50,0,0.0,62,10000.0,20.9,24.0,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-26 12:00:00,WeatherAPI,35.5,48,0,0.0,52,9000.0,23.8,27.3,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-26 13:00:00,WeatherAPI,35.4,48,62,0.04,80,9000.0,25.2,29.0,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-26 14:00:00,WeatherAPI,34.5,50,0,0.0,62,9000.0,25.6,32.8,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-26 15:00:00,WeatherAPI,34.5,49,0,0.0,19,10000.0,27.0,32.8,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-26 16:00:00,WeatherAPI,33.1,55,0,0.0,26,9000.0,25.2,33.1,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-26 17:00:00,WeatherAPI,32.2,60,0,0.0,15,10000.0,26.3,35.4,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-26 18:00:00,WeatherAPI,30.4,66,0,0.0,13,10000.0,26.3,39.5,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-26 19:00:00,WeatherAPI,29.5,71,100,0.14,78,10000.0,24.1,36.6,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-26 20:00:00,WeatherAPI,29.2,73,0,0.0,28,9000.0,20.9,31.8,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-26 21:00:00,WeatherAPI,28.9,76,0,0.0,14,10000.0,20.2,31.6,1000,Clear
Dong Thap,10.4939,105.6882,2026-05-26 22:00:00,WeatherAPI,28.8,77,0,0.0,9,10000.0,19.4,30.3,1000,Clear
Dong Thap,10.4939,105.6882,2026-05-26 23:00:00,WeatherAPI,28.6,77,69,0.05,79,10000.0,16.9,26.9,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-27 00:00:00,WeatherAPI,28.3,79,100,0.07,76,10000.0,15.1,24.5,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-27 01:00:00,WeatherAPI,27.5,83,100,3.02,75,8000.0,13.3,23.7,1186,Moderate rain at times
Dong Thap,10.4939,105.6882,2026-05-27 02:00:00,WeatherAPI,27.4,84,100,0.48,80,9000.0,13.7,25.0,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-27 03:00:00,WeatherAPI,27.3,85,100,1.97,82,9000.0,13.7,25.1,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-27 04:00:00,WeatherAPI,27.4,85,0,0.0,22,10000.0,14.4,25.0,1000,Clear
Dong Thap,10.4939,105.6882,2026-05-27 05:00:00,WeatherAPI,27.3,86,0,0.0,31,10000.0,13.0,22.3,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-27 06:00:00,WeatherAPI,27.1,87,100,0.27,74,10000.0,9.7,17.2,1240,Light rain shower
Dong Thap,10.4939,105.6882,2026-05-27 07:00:00,WeatherAPI,28.4,82,0,0.0,80,9000.0,13.3,19.9,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-27 08:00:00,WeatherAPI,30.3,72,0,0.0,46,9000.0,21.6,27.5,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-27 09:00:00,WeatherAPI,31.8,65,0,0.0,81,9000.0,23.0,26.5,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-27 10:00:00,WeatherAPI,33.4,57,100,0.07,85,9000.0,23.4,26.9,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-27 11:00:00,WeatherAPI,34.3,53,66,0.01,100,9000.0,21.6,24.8,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-27 12:00:00,WeatherAPI,34.8,50,80,0.01,91,9000.0,22.3,26.4,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-27 13:00:00,WeatherAPI,34.1,52,0,0.0,76,9000.0,23.0,27.5,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-27 14:00:00,WeatherAPI,33.0,57,0,0.0,41,9000.0,22.0,30.0,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-27 15:00:00,WeatherAPI,33.7,54,0,0.0,47,9000.0,24.8,30.6,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-27 16:00:00,WeatherAPI,32.8,59,0,0.0,62,9000.0,24.5,32.0,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-27 17:00:00,WeatherAPI,31.8,63,0,0.0,23,10000.0,24.8,33.9,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-27 18:00:00,WeatherAPI,30.1,69,0,0.0,36,10000.0,24.5,36.6,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-27 19:00:00,WeatherAPI,29.3,72,100,0.37,73,5000.0,21.6,33.5,1150,Patchy light drizzle
Dong Thap,10.4939,105.6882,2026-05-27 20:00:00,WeatherAPI,27.6,81,100,2.8,84,7000.0,17.6,30.4,1243,Moderate or heavy rain shower
Dong Thap,10.4939,105.6882,2026-05-27 21:00:00,WeatherAPI,27.6,84,0,0.0,29,10000.0,18.4,31.2,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-27 22:00:00,WeatherAPI,27.8,84,82,0.01,87,10000.0,18.4,30.7,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-27 23:00:00,WeatherAPI,27.2,86,100,6.29,58,6000.0,14.0,24.7,1276,Moderate or heavy rain in area with thunder
Dong Thap,10.4939,105.6882,2026-05-28 00:00:00,WeatherAPI,27.4,86,100,0.07,70,9000.0,17.6,34.1,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-28 01:00:00,WeatherAPI,27.5,86,100,2.04,83,9000.0,15.8,26.8,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-28 02:00:00,WeatherAPI,27.6,86,100,5.08,71,7000.0,17.3,30.1,1243,Moderate or heavy rain shower
