location_name,latitude,longitude,timestamp,source,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description
Dong Thap,10.4939,105.6882,2026-05-28 00:00:00,WeatherAPI,28.3,79,80,0.01,84,10000.0,15.1,23.7,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-28 01:00:00,WeatherAPI,28.0,80,100,0.39,79,5000.0,14.0,22.3,1150,Patchy light drizzle
Dong Thap,10.4939,105.6882,2026-05-28 02:00:00,WeatherAPI,27.4,83,100,2.9,84,8000.0,11.5,19.2,1186,Moderate rain at times
Dong Thap,10.4939,105.6882,2026-05-28 03:00:00,WeatherAPI,26.2,90,100,1.07,89,9000.0,11.9,21.7,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-28 04:00:00,WeatherAPI,26.2,90,0,0.0,28,10000.0,10.4,19.5,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-28 05:00:00,WeatherAPI,26.3,90,0,0.0,26,10000.0,9.7,17.6,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-28 06:00:00,WeatherAPI,26.6,89,0,0.0,24,10000.0,9.4,16.6,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-28 07:00:00,WeatherAPI,28.4,81,0,0.0,23,10000.0,14.0,19.5,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-28 08:00:00,WeatherAPI,30.5,71,0,0.0,25,10000.0,20.2,24.8,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-28 09:00:00,WeatherAPI,32.5,60,0,0.0,34,10000.0,19.4,22.4,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-28 10:00:00,WeatherAPI,34.2,52,0,0.0,23,10000.0,19.1,22.0,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-28 11:00:00,WeatherAPI,35.4,47,0,0.0,65,9000.0,17.6,20.3,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-28 12:00:00,WeatherAPI,36.2,45,100,0.43,70,5000.0,16.9,19.5,1150,Patchy light drizzle
Dong Thap,10.4939,105.6882,2026-05-28 13:00:00,WeatherAPI,34.3,51,100,0.08,100,9000.0,17.6,23.3,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-28 14:00:00,WeatherAPI,32.4,58,73,0.01,100,9000.0,16.9,26.6,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-28 15:00:00,WeatherAPI,32.3,59,0,0.0,50,9000.0,15.1,23.7,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-28 16:00:00,WeatherAPI,33.5,55,0,0.0,26,9000.0,21.2,28.0,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-28 17:00:00,WeatherAPI,32.2,60,100,0.16,85,9000.0,22.3,31.4,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-28 18:00:00,WeatherAPI,29.8,70,100,0.14,87,10000.0,23.0,36.7,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-28 19:00:00,WeatherAPI,28.3,76,100,0.61,86,9000.0,19.1,30.9,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-28 20:00:00,WeatherAPI,27.4,80,100,0.11,70,10000.0,10.1,17.6,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-28 21:00:00,WeatherAPI,26.5,85,100,0.98,87,9000.0,11.9,20.4,1180,Patchy light rain
