location_name,latitude,longitude,timestamp,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description,hour,date,dayofweek,month,flyability_score,fly_label,risk_level
An Giang,10.5216,105.1259,2026-05-19 06:00:00,25.9,93,82,0.9,98,3420.0,15.5,25.9,53,Mua phun vua,6,2026-05-19,1,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-19 07:00:00,25.5,94,86,1.4,99,3140.0,11.6,31.0,80,Mua rao nhe,7,2026-05-19,1,5,0.35,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 08:00:00,26.6,92,88,0.8,98,5340.0,13.2,25.6,53,Mua phun vua,8,2026-05-19,1,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-19 09:00:00,27.7,87,89,1.4,98,3020.0,18.6,36.4,80,Mua rao nhe,9,2026-05-19,1,5,0.35,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 10:00:00,28.0,87,90,0.8,99,5360.0,13.3,36.7,53,Mua phun vua,10,2026-05-19,1,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 11:00:00,29.8,81,92,0.4,99,10340.0,15.8,33.8,95,Dong,11,2026-05-19,1,5,0.35,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 12:00:00,31.0,72,94,0.1,100,28140.0,17.8,37.8,51,Mua phun nhe,12,2026-05-19,1,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 13:00:00,31.4,69,94,0.1,99,11180.0,17.6,39.2,51,Mua phun nhe,13,2026-05-19,1,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 14:00:00,31.2,68,91,0.4,99,9960.0,19.9,38.5,51,Mua phun nhe,14,2026-05-19,1,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 15:00:00,31.2,68,85,0.1,100,11060.0,18.9,38.5,51,Mua phun nhe,15,2026-05-19,1,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 16:00:00,30.7,68,75,0.0,99,17280.0,18.6,37.1,3,Nhieu may,16,2026-05-19,1,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-19 17:00:00,30.1,69,55,0.0,99,20700.0,15.7,34.2,3,Nhieu may,17,2026-05-19,1,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 06:00:00,25.1,96,71,0.5,99,4140.0,10.9,18.4,53,Mua phun vua,6,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 07:00:00,25.3,96,76,0.4,100,6540.0,10.5,23.0,51,Mua phun nhe,7,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 08:00:00,26.4,91,79,0.2,98,6520.0,11.0,23.0,51,Mua phun nhe,8,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 09:00:00,27.9,84,80,0.2,96,10440.0,11.2,24.8,51,Mua phun nhe,9,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 10:00:00,28.9,81,82,0.2,83,7220.0,12.1,27.4,51,Mua phun nhe,10,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 11:00:00,30.1,78,85,0.2,97,12280.0,12.7,28.1,51,Mua phun nhe,11,2026-05-20,2,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-20 12:00:00,28.7,82,89,2.7,100,2480.0,17.7,36.7,81,Mua rao vua,12,2026-05-20,2,5,0.35,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-20 13:00:00,28.4,86,92,0.9,100,6660.0,9.8,35.3,53,Mua phun vua,13,2026-05-20,2,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-20 14:00:00,29.7,78,94,0.1,100,14140.0,13.7,27.4,51,Mua phun nhe,14,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 15:00:00,29.0,78,95,0.4,98,3180.0,14.4,28.8,51,Mua phun nhe,15,2026-05-20,2,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-20 16:00:00,29.5,77,92,0.6,99,8320.0,14.0,28.8,53,Mua phun vua,16,2026-05-20,2,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-20 17:00:00,28.8,81,84,0.1,99,12720.0,14.8,27.4,51,Mua phun nhe,17,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-21 06:00:00,24.4,97,85,1.7,100,3980.0,7.2,15.8,80,Mua rao nhe,6,2026-05-21,3,5,0.55,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-21 07:00:00,24.5,96,86,0.4,97,6000.0,11.4,20.9,51,Mua phun nhe,7,2026-05-21,3,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-21 08:00:00,25.8,91,83,0.1,100,9040.0,11.4,24.1,51,Mua phun nhe,8,2026-05-21,3,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-21 09:00:00,27.3,88,78,0.1,100,8420.0,10.3,23.4,51,Mua phun nhe,9,2026-05-21,3,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-21 10:00:00,28.6,84,76,0.2,92,11900.0,9.3,29.2,51,Mua phun nhe,10,2026-05-21,3,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-21 11:00:00,29.7,81,81,0.2,95,8780.0,12.8,27.4,95,Dong,11,2026-05-21,3,5,0.55,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-21 12:00:00,30.0,78,88,0.1,99,14060.0,13.1,30.2,51,Mua phun nhe,12,2026-05-21,3,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-21 13:00:00,30.6,74,94,0.0,99,14900.0,12.6,27.7,3,Nhieu may,13,2026-05-21,3,5,0.8,FLY,LOW
An Giang,10.5216,105.1259,2026-05-21 14:00:00,30.0,75,96,0.1,99,8940.0,14.7,29.9,51,Mua phun nhe,14,2026-05-21,3,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-21 15:00:00,28.8,79,97,0.7,100,4640.0,15.5,30.6,53,Mua phun vua,15,2026-05-21,3,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-21 16:00:00,28.4,87,94,0.3,100,6660.0,12.4,29.9,51,Mua phun nhe,16,2026-05-21,3,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-21 17:00:00,27.0,91,88,0.6,99,7200.0,11.1,25.2,53,Mua phun vua,17,2026-05-21,3,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-22 06:00:00,24.2,95,56,0.9,99,3500.0,7.0,24.1,53,Mua phun vua,6,2026-05-22,4,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-22 07:00:00,24.5,92,49,0.9,99,4040.0,11.3,21.6,53,Mua phun vua,7,2026-05-22,4,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-22 08:00:00,25.8,90,42,0.4,98,8140.0,8.2,20.9,51,Mua phun nhe,8,2026-05-22,4,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-22 09:00:00,26.9,88,35,0.1,100,8580.0,12.7,25.6,51,Mua phun nhe,9,2026-05-22,4,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-22 10:00:00,27.5,86,35,0.4,96,7600.0,12.3,29.9,51,Mua phun nhe,10,2026-05-22,4,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-22 11:00:00,29.0,80,48,0.1,99,12820.0,11.3,25.2,51,Mua phun nhe,11,2026-05-22,4,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-22 12:00:00,29.6,81,67,0.1,99,14620.0,9.6,27.4,51,Mua phun nhe,12,2026-05-22,4,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-22 13:00:00,30.0,81,82,0.2,100,10720.0,7.7,25.2,95,Dong,13,2026-05-22,4,5,0.55,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-22 14:00:00,30.1,82,90,0.2,100,10080.0,9.8,24.1,95,Dong,14,2026-05-22,4,5,0.55,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-22 15:00:00,29.3,82,94,1.6,96,3120.0,12.0,25.2,95,Dong,15,2026-05-22,4,5,0.55,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-22 16:00:00,29.3,81,92,1.9,84,6480.0,9.5,25.2,80,Mua rao nhe,16,2026-05-22,4,5,0.55,NO_FLY,MEDIUM
