location_name,latitude,longitude,timestamp,source,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description,hour,date,dayofweek,month,flyability_score,fly_label,risk_level
An Giang,10.5216,105.1259,2026-05-28 06:00:00,WeatherAPI,27.7,79,0,0.0,29,10000.0,10.4,16.1,1003,Partly Cloudy,6,2026-05-28,3,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-28 07:00:00,WeatherAPI,29.1,73,0,0.0,25,10000.0,11.2,14.3,1003,Partly Cloudy,7,2026-05-28,3,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-28 08:00:00,WeatherAPI,30.9,63,0,0.0,27,10000.0,12.2,14.1,1003,Partly Cloudy,8,2026-05-28,3,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-28 09:00:00,WeatherAPI,32.6,54,0,0.0,27,10000.0,11.5,13.2,1003,Partly Cloudy,9,2026-05-28,3,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-28 10:00:00,WeatherAPI,34.3,47,0,0.0,26,10000.0,10.8,12.4,1003,Partly Cloudy,10,2026-05-28,3,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-28 11:00:00,WeatherAPI,35.9,42,0,0.0,21,10000.0,12.2,14.1,1000,Sunny,11,2026-05-28,3,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-28 12:00:00,WeatherAPI,37.2,38,0,0.0,46,10000.0,13.0,14.9,1003,Partly Cloudy,12,2026-05-28,3,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-28 13:00:00,WeatherAPI,38.2,35,83,0.02,78,10000.0,11.2,12.9,1063,Patchy rain nearby,13,2026-05-28,3,5,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-28 14:00:00,WeatherAPI,37.5,37,100,0.36,79,9000.0,12.2,14.5,1063,Patchy rain nearby,14,2026-05-28,3,5,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-28 15:00:00,WeatherAPI,35.2,44,100,0.3,54,10000.0,15.5,21.6,1240,Light rain shower,15,2026-05-28,3,5,0.7,NO_FLY,MEDIUM
