location_name,latitude,longitude,timestamp,source,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description,hour,date,dayofweek,month,flyability_score,fly_label,risk_level
An Giang,10.5216,105.1259,2026-05-19 06:00:00,WeatherAPI,27.9,76,0,0.0,27,10000.0,15.1,22.5,1003,Partly Cloudy,6,2026-05-19,1,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-19 07:00:00,WeatherAPI,29.2,70,0,0.0,30,10000.0,19.1,24.6,1003,Partly Cloudy,7,2026-05-19,1,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-19 08:00:00,WeatherAPI,30.5,64,100,0.05,88,10000.0,20.9,24.0,1063,Patchy rain nearby,8,2026-05-19,1,5,0.3,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 09:00:00,WeatherAPI,32.0,57,0,0.0,47,10000.0,21.6,24.8,1003,Partly Cloudy,9,2026-05-19,1,5,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-19 10:00:00,WeatherAPI,33.4,52,100,0.06,95,10000.0,24.1,27.8,1063,Patchy rain nearby,10,2026-05-19,1,5,0.3,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 11:00:00,WeatherAPI,34.4,48,100,0.08,100,10000.0,25.6,29.7,1063,Patchy rain nearby,11,2026-05-19,1,5,0.1,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 12:00:00,WeatherAPI,34.2,47,100,0.11,98,10000.0,27.4,32.4,1063,Patchy rain nearby,12,2026-05-19,1,5,0.1,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 13:00:00,WeatherAPI,33.9,48,80,0.01,86,10000.0,29.2,33.9,1063,Patchy rain nearby,13,2026-05-19,1,5,0.1,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 14:00:00,WeatherAPI,33.6,49,0,0.0,85,10000.0,29.2,33.6,1006,Cloudy,14,2026-05-19,1,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 15:00:00,WeatherAPI,33.8,48,0,0.0,82,10000.0,29.5,33.9,1006,Cloudy,15,2026-05-19,1,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 16:00:00,WeatherAPI,33.0,51,0,0.0,86,10000.0,30.2,35.1,1006,Cloudy,16,2026-05-19,1,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 17:00:00,WeatherAPI,32.1,55,0,0.0,39,10000.0,29.5,35.8,1003,Partly Cloudy,17,2026-05-19,1,5,0.5,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 06:00:00,WeatherAPI,28.1,74,0,0.0,21,10000.0,13.3,19.9,1000,Sunny,6,2026-05-20,2,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-20 07:00:00,WeatherAPI,29.4,68,0,0.0,17,10000.0,18.0,23.1,1000,Sunny,7,2026-05-20,2,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-20 08:00:00,WeatherAPI,31.2,59,0,0.0,42,10000.0,20.5,23.6,1003,Partly Cloudy,8,2026-05-20,2,5,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 09:00:00,WeatherAPI,32.9,51,0,0.0,66,10000.0,20.9,24.0,1006,Cloudy,9,2026-05-20,2,5,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 10:00:00,WeatherAPI,34.5,45,0,0.0,49,10000.0,22.0,25.3,1003,Partly Cloudy,10,2026-05-20,2,5,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 11:00:00,WeatherAPI,35.8,41,0,0.0,100,10000.0,24.1,27.8,1009,Overcast,11,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 12:00:00,WeatherAPI,35.3,43,86,0.03,100,10000.0,26.6,30.6,1063,Patchy rain nearby,12,2026-05-20,2,5,0.1,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-20 13:00:00,WeatherAPI,33.9,46,0,0.0,50,10000.0,24.5,28.8,1003,Partly Cloudy,13,2026-05-20,2,5,0.5,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 14:00:00,WeatherAPI,34.9,43,0,0.0,88,10000.0,25.9,29.8,1009,Overcast,14,2026-05-20,2,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-20 15:00:00,WeatherAPI,34.6,44,100,0.11,84,10000.0,26.6,30.6,1063,Patchy rain nearby,15,2026-05-20,2,5,0.1,NO_FLY,HIGH
