location_name,latitude,longitude,timestamp,source,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description,hour,date,dayofweek,month,flyability_score,fly_label,risk_level
An Giang,10.5216,105.1259,2026-05-26 06:00:00,WeatherAPI,27.7,78,0,0.0,21,10000.0,8.6,13.9,1000,Sunny,6,2026-05-26,1,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-26 07:00:00,WeatherAPI,29.4,70,0,0.0,18,10000.0,11.5,14.5,1000,Sunny,7,2026-05-26,1,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-26 08:00:00,WeatherAPI,31.3,61,0,0.0,16,10000.0,13.7,15.7,1000,Sunny,8,2026-05-26,1,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-26 09:00:00,WeatherAPI,33.2,52,0,0.0,19,10000.0,14.4,16.6,1000,Sunny,9,2026-05-26,1,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-26 10:00:00,WeatherAPI,34.8,46,0,0.0,10,10000.0,14.4,16.6,1000,Sunny,10,2026-05-26,1,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-26 11:00:00,WeatherAPI,36.3,41,0,0.0,10,10000.0,15.1,17.4,1000,Sunny,11,2026-05-26,1,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-26 12:00:00,WeatherAPI,37.4,38,0,0.0,44,10000.0,15.8,18.2,1003,Partly Cloudy,12,2026-05-26,1,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-26 13:00:00,WeatherAPI,38.0,36,100,0.09,72,10000.0,15.8,18.2,1063,Patchy rain nearby,13,2026-05-26,1,5,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-26 14:00:00,WeatherAPI,36.5,41,100,0.33,82,9000.0,24.5,28.2,1063,Patchy rain nearby,14,2026-05-26,1,5,0.1,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-26 15:00:00,WeatherAPI,33.6,51,69,0.01,81,10000.0,30.2,39.4,1063,Patchy rain nearby,15,2026-05-26,1,5,0.1,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-26 16:00:00,WeatherAPI,32.6,55,68,0.03,85,10000.0,28.4,36.5,1063,Patchy rain nearby,16,2026-05-26,1,5,0.1,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-26 17:00:00,WeatherAPI,32.3,57,77,0.02,78,10000.0,27.4,35.6,1063,Patchy rain nearby,17,2026-05-26,1,5,0.2,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-27 06:00:00,WeatherAPI,28.4,76,0,0.0,24,10000.0,12.2,18.3,1000,Sunny,6,2026-05-27,2,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-27 07:00:00,WeatherAPI,29.5,72,0,0.0,35,10000.0,14.0,18.2,1003,Partly Cloudy,7,2026-05-27,2,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-27 08:00:00,WeatherAPI,31.0,64,0,0.0,61,10000.0,16.2,18.6,1003,Partly Cloudy,8,2026-05-27,2,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-27 09:00:00,WeatherAPI,32.8,56,0,0.0,40,10000.0,16.6,19.0,1003,Partly Cloudy,9,2026-05-27,2,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-27 10:00:00,WeatherAPI,34.4,50,0,0.0,73,10000.0,16.9,19.5,1006,Cloudy,10,2026-05-27,2,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-27 11:00:00,WeatherAPI,35.6,46,0,0.0,61,9000.0,15.8,18.2,1087,Thundery outbreaks in nearby,11,2026-05-27,2,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-27 12:00:00,WeatherAPI,36.8,42,0,0.0,100,9000.0,15.1,17.4,1087,Thundery outbreaks in nearby,12,2026-05-27,2,5,0.9,FLY,LOW
An Giang,10.5216,105.1259,2026-05-27 13:00:00,WeatherAPI,37.3,39,100,0.36,67,5000.0,15.5,17.8,1150,Patchy light drizzle,13,2026-05-27,2,5,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-27 14:00:00,WeatherAPI,35.6,44,78,0.01,89,9000.0,21.2,25.8,1087,Thundery outbreaks in nearby,14,2026-05-27,2,5,0.3,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-27 15:00:00,WeatherAPI,33.8,53,82,0.01,83,9000.0,25.9,34.1,1087,Thundery outbreaks in nearby,15,2026-05-27,2,5,0.1,NO_FLY,HIGH
