location_name,latitude,longitude,timestamp,source,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description,hour,date,dayofweek,month,flyability_score,fly_label,risk_level
An Giang,10.5216,105.1259,2026-05-25 06:00:00,WeatherAPI,28.9,74,0,0.0,35,10000.0,15.1,21.7,1003,Partly Cloudy,6,2026-05-25,0,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-25 07:00:00,WeatherAPI,29.6,72,0,0.0,31,10000.0,17.6,22.8,1003,Partly Cloudy,7,2026-05-25,0,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-25 08:00:00,WeatherAPI,31.1,63,0,0.0,38,10000.0,14.8,17.0,1003,Partly Cloudy,8,2026-05-25,0,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-25 09:00:00,WeatherAPI,32.7,55,0,0.0,23,10000.0,10.8,12.4,1000,Sunny,9,2026-05-25,0,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-25 10:00:00,WeatherAPI,34.1,50,0,0.0,19,10000.0,8.3,9.5,1000,Sunny,10,2026-05-25,0,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-25 11:00:00,WeatherAPI,35.5,45,0,0.0,18,10000.0,9.4,10.8,1000,Sunny,11,2026-05-25,0,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-25 12:00:00,WeatherAPI,36.5,42,0,0.0,21,10000.0,10.1,11.6,1000,Sunny,12,2026-05-25,0,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-25 13:00:00,WeatherAPI,37.3,39,0,0.0,46,10000.0,11.5,13.2,1003,Partly Cloudy,13,2026-05-25,0,5,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-05-25 14:00:00,WeatherAPI,37.6,37,100,0.06,84,10000.0,13.7,15.7,1063,Patchy rain nearby,14,2026-05-25,0,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-25 15:00:00,WeatherAPI,36.0,44,100,0.05,85,9000.0,24.5,28.8,1087,Thundery outbreaks in nearby,15,2026-05-25,0,5,0.1,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-25 16:00:00,WeatherAPI,33.5,52,0,0.0,41,9000.0,27.0,36.4,1087,Thundery outbreaks in nearby,16,2026-05-25,0,5,0.5,NO_FLY,MEDIUM
