location_name,latitude,longitude,timestamp,source,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description,hour,date,dayofweek,month,flyability_score,fly_label,risk_level
An Giang,10.5216,105.1259,2026-06-02 06:00:00,WeatherAPI,26.3,85,10,0.0,55,10000.0,7.6,12.5,1003,Partly Cloudy,6,2026-06-02,1,6,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-06-02 07:00:00,WeatherAPI,27.3,81,8,0.0,53,10000.0,9.7,13.6,1003,Partly Cloudy,7,2026-06-02,1,6,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-06-02 08:00:00,WeatherAPI,28.7,75,6,0.0,62,10000.0,11.9,14.7,1003,Partly Cloudy,8,2026-06-02,1,6,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-06-02 09:00:00,WeatherAPI,30.3,67,73,0.13,70,10000.0,12.6,14.5,1063,Patchy rain nearby,9,2026-06-02,1,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 10:00:00,WeatherAPI,31.3,63,73,0.1,75,10000.0,14.8,17.2,1063,Patchy rain nearby,10,2026-06-02,1,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 11:00:00,WeatherAPI,31.7,61,73,0.58,72,9000.0,18.0,22.0,1063,Patchy rain nearby,11,2026-06-02,1,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 12:00:00,WeatherAPI,31.5,62,73,0.51,86,10000.0,18.4,24.5,1240,Light rain shower,12,2026-06-02,1,6,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 13:00:00,WeatherAPI,31.2,63,73,0.85,86,10000.0,18.4,27.0,1240,Light rain shower,13,2026-06-02,1,6,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 14:00:00,WeatherAPI,31.1,63,73,0.22,51,10000.0,19.8,23.8,1240,Light rain shower,14,2026-06-02,1,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 15:00:00,WeatherAPI,30.7,65,5,0.02,59,10000.0,23.0,27.4,1063,Patchy rain nearby,15,2026-06-02,1,6,0.5,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 16:00:00,WeatherAPI,29.7,69,73,0.06,60,10000.0,24.8,31.7,1063,Patchy rain nearby,16,2026-06-02,1,6,0.2,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-06-02 17:00:00,WeatherAPI,28.5,75,4,0.0,28,10000.0,26.6,35.0,1003,Partly Cloudy,17,2026-06-02,1,6,0.5,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-03 06:00:00,WeatherAPI,25.8,85,8,0.0,41,10000.0,21.6,33.2,1003,Partly Cloudy,6,2026-06-03,2,6,0.5,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-03 07:00:00,WeatherAPI,26.2,83,24,0.04,85,10000.0,24.1,34.5,1063,Patchy rain nearby,7,2026-06-03,2,6,0.2,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-06-03 08:00:00,WeatherAPI,26.8,79,22,0.05,87,10000.0,26.3,34.7,1063,Patchy rain nearby,8,2026-06-03,2,6,0.2,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-06-03 09:00:00,WeatherAPI,27.8,73,73,0.05,85,10000.0,27.7,33.6,1063,Patchy rain nearby,9,2026-06-03,2,6,0.1,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-06-03 10:00:00,WeatherAPI,28.9,67,2,0.0,25,10000.0,27.4,31.5,1003,Partly Cloudy,10,2026-06-03,2,6,0.5,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-03 11:00:00,WeatherAPI,29.5,65,2,0.0,32,10000.0,24.8,28.6,1003,Partly Cloudy,11,2026-06-03,2,6,0.5,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-03 12:00:00,WeatherAPI,28.5,69,4,0.0,51,10000.0,21.6,24.8,1003,Partly Cloudy,12,2026-06-03,2,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-03 13:00:00,WeatherAPI,28.9,66,3,0.0,51,10000.0,18.4,21.7,1003,Partly Cloudy,13,2026-06-03,2,6,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-06-03 14:00:00,WeatherAPI,29.6,61,2,0.0,45,10000.0,17.3,22.8,1003,Partly Cloudy,14,2026-06-03,2,6,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-06-03 15:00:00,WeatherAPI,30.8,56,2,0.0,44,10000.0,20.2,25.7,1003,Partly Cloudy,15,2026-06-03,2,6,0.7,NO_FLY,MEDIUM
