location_name,latitude,longitude,timestamp,source,temperature_2m,relative_humidity_2m,precipitation,precipitation_probability,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description,evapotranspiration,soil_moisture_0_to_7cm,hour,date,dayofweek,month,flyability_score,decision_action,fly_label,risk_level
An Giang,10.5216,105.1259,2026-07-02 06:00:00,Open-Meteo,25.5,93,0.1,89,99,15580.0,12.7,23.8,51,Code 51,0.01,0.446,6,2026-07-02,3,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 07:00:00,Open-Meteo,27.7,84,0.0,80,97,22500.0,14.1,21.6,3,Code 3,0.03,0.429,7,2026-07-02,3,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 08:00:00,Open-Meteo,28.5,82,0.0,70,97,22300.0,14.3,27.0,3,Code 3,0.11,0.427,8,2026-07-02,3,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 09:00:00,Open-Meteo,29.3,78,0.0,59,100,17760.0,15.2,34.9,3,Code 3,0.21,0.425,9,2026-07-02,3,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 10:00:00,Open-Meteo,29.6,77,0.0,55,93,18160.0,13.2,30.2,3,Code 3,0.31,0.422,10,2026-07-02,3,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 11:00:00,Open-Meteo,28.5,86,3.1,66,100,7200.0,13.5,38.5,96,Code 96,0.33,0.452,11,2026-07-02,3,7,0.57,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 12:00:00,Open-Meteo,28.1,86,0.6,84,98,6200.0,14.1,29.2,95,Code 95,0.33,0.453,12,2026-07-02,3,7,0.68,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 13:00:00,Open-Meteo,27.7,85,1.4,98,100,2260.0,16.3,38.5,95,Code 95,0.33,0.453,13,2026-07-02,3,7,0.68,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 14:00:00,Open-Meteo,26.5,91,6.8,100,100,2500.0,6.7,34.6,96,Code 96,0.34,0.495,14,2026-07-02,3,7,0.57,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 15:00:00,Open-Meteo,26.8,92,1.7,100,100,3600.0,11.2,20.9,95,Code 95,0.19,0.503,15,2026-07-02,3,7,0.83,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 16:00:00,Open-Meteo,27.1,92,0.7,100,100,4020.0,10.4,22.7,95,Code 95,0.19,0.498,16,2026-07-02,3,7,0.83,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 17:00:00,Open-Meteo,26.9,92,0.7,96,100,4680.0,10.1,22.7,53,Code 53,0.17,0.495,17,2026-07-02,3,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 06:00:00,Open-Meteo,25.1,94,0.0,72,80,17660.0,14.9,29.2,3,Code 3,0.02,0.48,6,2026-07-03,4,7,0.77,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 07:00:00,Open-Meteo,26.1,91,0.0,75,99,18580.0,15.2,25.9,3,Code 3,0.04,0.477,7,2026-07-03,4,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 08:00:00,Open-Meteo,26.7,90,0.0,80,86,22140.0,14.6,30.6,3,Code 3,0.1,0.474,8,2026-07-03,4,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 09:00:00,Open-Meteo,27.7,85,0.0,86,87,14120.0,15.8,32.0,3,Code 3,0.19,0.471,9,2026-07-03,4,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 10:00:00,Open-Meteo,28.5,83,0.2,90,97,5520.0,17.8,35.6,95,Code 95,0.25,0.468,10,2026-07-03,4,7,0.68,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 11:00:00,Open-Meteo,27.8,89,4.2,92,99,5280.0,13.3,40.3,96,Code 96,0.27,0.504,11,2026-07-03,4,7,0.57,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 12:00:00,Open-Meteo,27.7,88,1.1,93,96,4580.0,16.3,33.1,95,Code 95,0.26,0.502,12,2026-07-03,4,7,0.68,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 13:00:00,Open-Meteo,28.5,83,0.4,92,99,14640.0,18.1,37.4,51,Code 51,0.25,0.496,13,2026-07-03,4,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 14:00:00,Open-Meteo,29.7,76,0.0,91,100,17940.0,20.6,38.9,3,Code 3,0.26,0.488,14,2026-07-03,4,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 15:00:00,Open-Meteo,29.3,76,0.0,88,100,29340.0,19.0,38.9,3,Code 3,0.24,0.482,15,2026-07-03,4,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 16:00:00,Open-Meteo,28.0,83,0.0,84,100,10040.0,16.2,35.6,3,Code 3,0.21,0.478,16,2026-07-03,4,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 17:00:00,Open-Meteo,27.4,86,0.1,76,100,11360.0,12.5,29.2,51,Code 51,0.15,0.475,17,2026-07-03,4,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-04 06:00:00,Open-Meteo,24.3,96,0.9,72,93,3100.0,11.2,29.2,53,Code 53,0.01,0.479,6,2026-07-04,5,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-04 07:00:00,Open-Meteo,25.2,94,0.6,73,98,6560.0,12.4,21.2,53,Code 53,0.03,0.483,7,2026-07-04,5,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-04 08:00:00,Open-Meteo,26.8,91,0.2,76,99,7000.0,14.6,28.4,51,Code 51,0.09,0.482,8,2026-07-04,5,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-04 09:00:00,Open-Meteo,27.2,88,0.3,79,100,7620.0,16.0,33.8,51,Code 51,0.21,0.48,9,2026-07-04,5,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-04 10:00:00,Open-Meteo,26.9,91,1.0,82,100,2240.0,17.6,37.1,55,Code 55,0.24,0.485,10,2026-07-04,5,7,0.68,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-04 11:00:00,Open-Meteo,26.3,92,2.1,85,100,4520.0,11.9,33.5,80,Code 80,0.26,0.503,11,2026-07-04,5,7,0.53,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-04 12:00:00,Open-Meteo,27.6,87,0.5,88,98,6660.0,12.9,26.6,53,Code 53,0.27,0.498,12,2026-07-04,5,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-04 13:00:00,Open-Meteo,28.9,81,0.2,90,100,8760.0,14.7,29.5,51,Code 51,0.26,0.493,13,2026-07-04,5,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
